longitude,latitude,value,impf_max_temp
-2.8529575,51.268032,1,1
-2.680947,51.26916,1,1
-2.5089269,51.270035,1,1
-2.3368993,51.270657,1,1
-2.1648667,51.271023,1,1
-1.9928318,51.27114,1,1
-1.8207971,51.271004,1,1
-1.6487648,51.270615,1,1
-1.4767377,51.26997,1,1
-1.3047183,51.269077,1,1
-1.1327089,51.26793,1,1
-0.960712,51.26653,1,1
-0.78873026,51.264874,1,1
-0.6167661,51.26297,1,1
-0.44482195,51.26081,1,1
-0.27290034,51.2584,1,1
-0.10100378,51.255737,1,1
0.070865266,51.252823,1,1
0.24270432,51.249653,1,1
0.4145109,51.246235,1,1
0.58628255,51.242565,1,1
0.75801677,51.23864,1,1
0.92971104,51.234467,1,1
1.1013631,51.230038,1,1
1.2729702,51.22536,1,1
-2.8549614,51.375935,1,1
-2.6825469,51.377068,1,1
-2.5101225,51.377945,1,1
-2.3376908,51.378567,1,1
-2.165254,51.378937,1,1
-1.992815,51.379055,1,1
-1.820376,51.378918,1,1
-1.6479397,51.378525,1,1
-1.4755083,51.37788,1,1
-1.3030847,51.37698,1,1
-1.1306714,51.375828,1,1
-0.9582706,51.374424,1,1
-0.7858851,51.372765,1,1
-0.6135172,51.37085,1,1
-0.44116965,51.368683,1,1
-0.26884475,51.366264,1,1
-0.096545115,51.36359,1,1
0.07572679,51.360664,1,1
0.24796847,51.357487,1,1
0.4201774,51.354053,1,1
0.5923511,51.35037,1,1
0.764487,51.346428,1,1
0.9365828,51.34224,1,1
1.1086358,51.337795,1,1
1.2806437,51.3331,1,1
-3.54811,51.476746,1,1
-3.3753548,51.4789,1,1
-3.2025793,51.4808,1,1
-2.8569777,51.483833,1,1
-2.6841567,51.48497,1,1
-2.5113258,51.48585,1,1
-2.3384874,51.486477,1,1
-2.165644,51.486847,1,1
-1.9927981,51.486965,1,1
-1.8199524,51.486828,1,1
-1.6471093,51.486435,1,1
-1.4742713,51.485786,1,1
-1.3014411,51.484886,1,1
-1.1286212,51.483727,1,1
-0.955814,51.482315,1,1
-0.78302217,51.48065,1,1
-0.6102482,51.47873,1,1
-0.4374946,51.476555,1,1
-0.26476392,51.474125,1,1
-0.0920587,51.471443,1,1
0.08061856,51.468506,1,1
0.25326535,51.465313,1,1
0.4258791,51.46187,1,1
0.59845734,51.458168,1,1
-3.724915,51.5822,1,1
-3.551774,51.584618,1,1
-3.3786101,51.586777,1,1
